,x,y,r
1192503,0.11036812129718496,0.18469706734648086,1.4583335
1194499,0.11264101131909748,0.18062901909113044,1.5208335
1187495,0.10567597114608848,0.17725967088208758,1.5833335
1178497,0.09757510657901645,0.17906501678052597,1.6041665
1171495,0.09091665115124431,0.17701310456439856,1.4375
1167501,0.08687595777895536,0.1824147439477918,1.6041665
1162505,0.08210723305119133,0.18631484372389231,1.5
1159510,0.07968835484009584,0.19142157550759303,1.6875
1154505,0.074965555762428,0.18656240302861044,1.0208335
1148508,0.06913433491351945,0.18920981147568378,1.1875
1145512,0.06587647814235044,0.1937270431424221,
1143518,0.06433610701344833,0.19877628670590874,1.2291665
1144523,0.06517947763153498,0.20418730217836525,1.7291665
1144529,0.06466341081496561,0.20924790780497352,1.6041665
1138531,0.05937308145835438,0.21164759463214133,1.6666665
1134534,0.05544744091011077,0.21459017802156877,1.5833335
1133539,0.05485785486157869,0.21934219383297773,1.6041665
1128534,0.05006029531816182,0.21416567606662565,1.6666665
1132529,0.05324004984031054,0.2094199141639097,1.6666665
1132524,0.05397218681523294,0.20432273033241194,
1138525,0.05956814612186056,0.20618220357188893,
1137519,0.05868381478882333,0.19976612291078868,1.5625
1139513,0.059771517503783386,0.19426029627295688,0.7916665
1132516,0.053748000897507475,0.19735306895053684,1.7083335
1127514,0.04829478347631397,0.19546486592288115,0.9583335
1126520,0.04823415397982525,0.20099637655213895,
1126527,0.04771369510524233,0.2072169628918838,1.625
1121522,0.042636762480367116,0.20334113401028317,
1121516,0.042594751490674036,0.19686980889773673,1.5
1114519,0.03678377230043588,0.19977681661725602,
1107520,0.029852531878225515,0.2013771106941839,
1104526,0.026308713938578036,0.20684160424692916,1.5
1109527,0.0317356744912135,0.20751404742467866,1.6666665
1114525,0.03654211363017927,0.2056435081085984,1.5833335
1119528,0.040975227838009574,0.20866220777298788,1.6666665
1124531,0.04540079916359949,0.21185335300211483,1.5833335
1123537,0.044784478848898905,0.21685791214929181,1.625
1122542,0.04395533467959477,0.22163586019888384,1.6041665
1117539,0.03904950135819626,0.21885626035356065,1.6041665
1115544,0.03762007743389238,0.22349688975456994,1.6041665
1121546,0.04313459270822908,0.2260359384920919,1.6041665
1128546,0.049386878249287586,0.22534804672767803,1.6041665
1128540,0.0495874807250716,0.2199043772586875,1.6041665
1133545,0.054745475464149936,0.22468522788574924,1.6041665
1133550,0.054440609350309595,0.22963498178728117,1.6041665
1128552,0.05000930925339805,0.23190720345253957,1.6041665
1125550,0.046382137691018885,0.22987778621180227,1.6041665
1120552,0.041962581575316626,0.23180694995440856,1.6041665
1121557,0.04338885467539367,0.23629088791181516,1.6041665
1127558,0.04837240832772401,0.23688493285402615,1.6041665
1127563,0.04852784898958812,0.24185555857907376,1.6041665
1132562,0.05392377869756397,0.24099752230640328,1.6041665
1132556,0.05363924972191602,0.23551031417536725,1.6041665
1137558,0.05836195332006165,0.23691195355876046,1.6041665
1138563,0.0593463471921861,0.2419008540643245,1.6041665
1143564,0.06412328315884455,0.24297347101480413,1.6041665
1147561,0.0680958041524044,0.2400129852149961,1.6041665
1143558,0.06366402665788261,0.23685686187454946,1.6041665
1138553,0.058975313769579416,0.2320633124710578,1.6041665
1139547,0.06053019778583006,0.22680826279783645,1.6041665
1138542,0.05940659477058658,0.22203714153406953,1.6041665
1140537,0.06116666427967859,0.21745418176436615,1.6041665
1144534,0.06484042984880818,0.21424148680711705,1.6458335
1149532,0.07008569287102151,0.21252180513584348,1.6875
1150527,0.07101222615279605,0.20778951539368598,1.625
1150522,0.07099656751118301,0.2028593729859789,1.5208335
1151516,0.07134869598842804,0.1974505821863856,1.1666665
1153511,0.07383727425060516,0.19272608357322565,1.6458335
1157516,0.07761243907213003,0.19734371195737793,1.6666665
1156521,0.0763877232430575,0.20239082632752337,1.625
1157527,0.07726145634914951,0.20781795874329848,1.6041665
1155533,0.07574008564513128,0.21335855902305356,1.5625
1154538,0.07409917457953215,0.2185648950441354,
1156544,0.07618969871436829,0.2235587891287016,1.6041665
1150543,0.07056528651017585,0.22316786732165622,1.6041665
1148538,0.06853176364999114,0.2178606380896458,1.6041665
1144542,0.06481054475841307,0.22236221111477122,1.6041665
1147548,0.06748091603053433,0.2273610701344829,1.6041665
1143551,0.06372484711341533,0.23080613360449512,1.6041665
1147554,0.06784946698556843,0.23321890112618093,1.6041665
1151556,0.07184566690059152,0.23522554650091426,1.6041665
1153561,0.07326372876177391,0.23985109968539495,1.6041665
1156566,0.07684535659214492,0.2451131671034855,1.6041665
1159571,0.07919424831359298,0.2498881934797034,1.6041665
1163568,0.08286228511140072,0.24679363533506155,1.6041665
1161563,0.08152442604872338,0.2417953491924819,1.6041665
1157560,0.07763430388267473,0.23910273119172767,1.6041665
1157554,0.07695840434622793,0.2336823969179211,1.6041665
1152550,0.07277640128133517,0.22924647561214315,1.6041665
1158548,0.07831745986279591,0.2280448658274017,1.6041665
1162544,0.08261652082169678,0.22369204989759822,1.6041665
1168543,0.08809064825821493,0.22307821205047046,1.6041665
1174543,0.09346156233141903,0.22297547608476673,1.6041665
1180541,0.09891096057173145,0.22072445087339893,1.6041665
1185543,0.10431491055955772,0.22279721581713768,1.6041665
1184549,0.10287030539125126,0.22839470279611782,1.6041665
1178547,0.09780272975953498,0.22653609842029135,1.6041665
1173550,0.09265810215354069,0.2292065651719347,1.6041665
1167550,0.08698337224123874,0.2296212327361089,1.6041665
1162551,0.08232358964811039,0.23081654087239648,1.6041665
1162557,0.08231194114642268,0.23605562636953442,1.6041665
1167558,0.08689037518678189,0.23752073099122065,1.6041665
1171555,0.09086595152504678,0.23454983792351136,1.6041665
1176558,0.09565214900534216,0.2372054576094792,1.6041665
1179553,0.09843690474485495,0.2325259107552908,1.6041665
1185556,0.10387484544252387,0.2350943671855978,1.6041665
1182561,0.1008538733655101,0.23967200874592423,1.6041665
1178565,0.09699611875742958,0.24363355914240292,1.6041665
1172563,0.09161126467400921,0.24156918684865064,1.6041665
1167564,0.08651494970616187,0.242911695764051,
1168569,0.08825668714702425,0.24807475091779693,1.6041665
1173569,0.09308546849414476,0.2476712162658914,1.6041665
1178571,0.09788388735325988,0.2500575741517838,1.6041665
1177577,0.09616974349426405,0.25523242102650034,1.6041665
1174582,0.09350720154294918,0.26007790174202383,1.6041665
1172575,0.09130496636733834,0.2533938673503,1.6041665
1168578,0.08753113825912197,0.25646508075180574,
1165574,0.0846143343406423,0.2520744835751352,
1160577,0.08047071404360555,0.2556878487986289,1.6041665
1156575,0.07617728637650452,0.2532922293990996,1.6041665
1152571,0.07256921071853124,0.24940825611426987,1.6041665
1151565,0.07138325957540273,0.24440437487169941,1.6041665
1146569,0.06710806849700911,0.24764184676491513,1.6041665
1141569,0.061850393136932025,0.24816975304221633,1.6041665
1136568,0.056887081143271845,0.24674930419298327,1.6041665
1131568,0.052352567683046254,0.24664561343205918,1.6041665
1126568,0.047712835789544064,0.24695114790255357,1.6041665
1121563,0.04318051835832525,0.2421662871355666,1.6041665
1116567,0.03838286333538616,0.24585108058949054,1.6041665
1121569,0.04277358463543537,0.24813293613852166,1.6041665
1116574,0.03803178513288363,0.25233545775269844,1.6041665
1120576,0.042304971141314485,0.2541321150146323,1.6041665
1125573,0.04704123283158859,0.2519531672944446,1.6041665
1131575,0.05212685409296848,0.2530249249292258,
1136574,0.057255154700695705,0.2521677957120147,1.6041665
1136579,0.057486788021139344,0.25769746358649737,1.6041665
1130581,0.051788283707851934,0.25927369682387374,1.6041665
1125579,0.04679040812721707,0.2574354295862395,1.6041665
1129587,0.05023702791343837,0.2650344919773332,1.6041665
1133591,0.054332622010894185,0.2686584745236766,1.6041665
1135585,0.0558921845237244,0.2633951085840865,1.6041665
1140584,0.06123474117888569,0.2620957755085478,1.6041665
1145587,0.06600337042712771,0.26507187221020767,1.6041665
1139590,0.060121640911065644,0.26738962805952193,1.6041665
1142594,0.06333213983930797,0.27116509841551734,1.6041665
1137595,0.057814569220266655,0.2727160582234126,
1130595,0.05133800228196068,0.27283230454148355,1.6041665
1125598,0.046707531902095416,0.2754246213043457,1.6041665
1125591,0.046512085320500995,0.26911633702361687,1.6041665
1120595,0.041844091488478,0.2723339969160114,1.6041665
1114592,0.03664074397643575,0.26960862943920105,1.6041665
1119589,0.04118442347077626,0.2664031909256262,1.6041665
1123585,0.04522826766729205,0.2627245559008732,1.6041665
1118581,0.04057507316118382,0.2593774257766066,1.6041665
1113580,0.0353233175314726,0.258252677007099,1.6041665
1114586,0.0365513751438162,0.26381579135814853,1.6041665
1109585,0.031331796113028665,0.2627909141686836,1.6041665
1104588,0.026389107696126894,0.2654327752555271,
1102583,0.02532288787362329,0.26098631301051706,
1107580,0.02938754660594171,0.2578458674075877,1.6041665
1106574,0.02871393857802347,0.25246680893115453,1.6041665
1111575,0.0331357862022543,0.2538761821558322,1.6041665
1111570,0.033720025397552984,0.2489245186638596,1.6041665
1109566,0.031077247707298052,0.24517968768648343,1.6041665
1112563,0.03465400608204569,0.2421097632585252,1.6041665
1116560,0.03859587814903415,0.2390243425041414,1.6041665
1114554,0.03662279382629415,0.23387383335959017,1.6041665
1116549,0.03845619160830487,0.22856809360812344,1.6041665
1111548,0.033753061312175155,0.22808935928466745,1.6041665
1110542,0.03232459218309155,0.2223704891893311,1.6041665
1106546,0.029099675847022697,0.2262249306579971,1.6041665
1108553,0.030756054595190853,0.23217601649886138,1.6041665
1110558,0.03211195928753179,0.23757553623686561,1.6041665
1105562,0.027607330917701536,0.2414624120991651,1.6041665
1100560,0.022494402513021112,0.23934118175004418,1.6041665
1104556,0.026588087020036382,0.23568399142593896,1.6041665
1103550,0.025393542719925194,0.2300528956552044,1.6041665
1097549,0.020192391236889505,0.22867149793048136,1.6041665
1098555,0.02113706562784944,0.23391580615747443,1.6041665
1092553,0.015312623825005239,0.23289188376322992,1.6041665
1091549,0.014625553184480743,0.22837536819290682,1.6041665
1093544,0.016713117454134056,0.22418930724832792,1.6041665
1098543,0.020976087153707707,0.2232508008344911,1.6041665
1102544,0.02525404713824014,0.2240838023764853,1.6041665
1101539,0.024208068974406704,0.21880703111200223,1.6041665
1106538,0.028833956337214618,0.21838443874749966,1.6041665
1112537,0.03413984885591666,0.21714616482629887,1.6041665
1118534,0.04006425771832585,0.21399896882116207,1.625
1113531,0.03557948908907774,0.21163107667483014,1.625
1108532,0.03025469162501382,0.21273115353584546,1.6458335
1103532,0.025355732829201446,0.21267695935914144,
1098534,0.021133628365056587,0.21474227690016182,
1095539,0.018591677050064693,0.21910330406885983,1.6041665
1091538,0.014062987840682956,0.21859337658555686,
1093533,0.016614582587399583,0.213833789248051,
